"","Forest","variable","value"
"1","BC","Water",2.4865591875
"2","DEG","Water",NA
"3","DON","Water",1.344086
"4","SH","Water",0.8176523125
"5","WF","Water",1.590501875
"6","WHIP","Water",2.41935475
"7","BC","Mixed",2.094534125
"8","DEG","Mixed",2.9009856875
"9","DON","Mixed",3.8642473125
"10","SH","Mixed",3.6514338125
"11","WF","Mixed",3.3714158125
"12","WHIP","Mixed",1.09767025
"13","BC","Evergreen",15.15457
"14","DEG","Evergreen",29.3570788125
"15","DON","Evergreen",34.2293906875
"16","SH","Evergreen",30.286738375
"17","WF","Evergreen",22.916666625
"18","WHIP","Evergreen",28.0241935
"19","BC","Deciduous",73.5663083125
"20","DEG","Deciduous",56.7540323125
"21","DON","Deciduous",48.958333375
"22","SH","Deciduous",49.23835125
"23","WF","Deciduous",60.2038530625
"24","WHIP","Deciduous",63.149641625
"25","BC","Development",0.078405
"26","DEG","Development",0.4480286875
"27","DON","Development",0.537634375
"28","SH","Development",0.5376344375
"29","WF","Development",0.1008064375
"30","WHIP","Development",0.42562725
"31","BC","Agriculture",0
"32","DEG","Agriculture",0
"33","DON","Agriculture",0.4144265
"34","SH","Agriculture",2.2898969375
"35","WF","Agriculture",1.2544803125
"36","WHIP","Agriculture",0
"37","BC","Barren",0
"38","DEG","Barren",0
"39","DON","Barren",0
"40","SH","Barren",0
"41","WF","Barren",0
"42","WHIP","Barren",0
"43","BC","Shrub",1.4112903125
"44","DEG","Shrub",1.9377240625
"45","DON","Shrub",1.724910375
"46","SH","Shrub",2.2177418125
"47","WF","Shrub",3.7858423125
"48","WHIP","Shrub",1.489695375
"49","BC","Wetland",5.29793678125
"50","DEG","Wetland",7.3924730625
"51","DON","Wetland",8.221326125
"52","SH","Wetland",10.450268875
"53","WF","Wetland",5.768369125
"54","WHIP","Wetland",3.2370071875
"55","BC","Herbaceous",0.16801075
"56","DEG","Herbaceous",0.5488350625
"57","DON","Herbaceous",0.76164875
"58","SH","Herbaceous",0.7504480625
"59","WF","Herbaceous",0.94086025
"60","WHIP","Herbaceous",0.4144265
